from_site,to_site,straight_distance_km,travel_distance_km,base_time_min,movement_id
2820,4321,1.77,3.7,4,2820_2
2820,3662,1.59,1.87,2,2820_1
3662,3002,0.6,1.03,1,3662_3
3002,4263,0.85,1.17,1,3002_3
3002,4266,1.85,2.68,3,3002_2
4263,4266,1.65,2.14,2,4263_2
4263,4270,1.01,1.38,1,4263_3
4270,4266,1.04,1.72,2,4270_1
4270,4043,2.49,3.68,4,4270_2
4266,3120,1.2,1.91,2,4266_2
4321,4032,1.11,1.64,1,4321_2
4032,2825,1.76,2.28,2,4032_3
4032,3120,2.18,2.35,2,4032_2
3120,4043,2.84,3.04,4,3120_3
4043,2000,3.71,4.19,4,4043_2
3120,3127,1.83,2.01,2,3120_2
4032,4057,1.91,2.33,2,4032_4
2827,4051,1.44,1.77,2,2827_3
4051,3180,1.25,1.79,2,4051_1
3180,4057,0.97,1.03,1,3180_2
4057,3127,2.23,2.41,2,4057_3
3127,3682,2.22,3.41,4,3127_2
3682,2000,1.57,1.73,1,3682_3
